ids,train_1_test_0_ids,true_labels,predicted_labels_srnc,predicted_labels_rejection,predicted_labels_semi,known_1_unknown_0_classes
0,0,1,1,91,1,1
1,0,1,1,91,1,1
2,0,1,1,91,1,1
3,0,1,1,91,1,1
4,1,1,-1,-1,-1,-1
5,0,1,1,91,1,1
6,0,1,1,91,1,1
7,1,1,-1,-1,-1,-1
8,0,1,1,91,1,1
9,0,1,1,91,1,1
10,0,1,1,91,1,1
11,0,1,1,91,1,1
12,0,1,1,91,1,1
13,0,1,1,91,1,1
14,0,1,1,91,1,1
15,1,1,-1,-1,-1,-1
16,0,1,1,91,1,1
17,0,1,1,91,1,1
18,0,1,1,91,1,1
19,0,1,1,91,1,1
20,0,1,1,91,1,1
21,0,2,2,91,2,1
22,1,2,-1,-1,-1,-1
23,0,2,91,91,2,1
24,0,2,91,91,2,1
25,0,2,2,91,2,1
26,0,2,2,91,2,1
27,0,2,2,91,2,1
28,0,2,91,91,2,1
29,0,2,2,91,2,1
30,0,2,2,91,2,1
31,1,2,-1,-1,-1,-1
32,0,2,2,91,2,1
33,0,2,2,91,2,1
34,0,2,2,91,2,1
35,0,2,2,91,2,1
36,0,2,2,91,2,1
37,1,2,-1,-1,-1,-1
38,0,9,9,91,9,1
39,0,9,9,91,9,1
40,0,9,9,91,9,1
41,0,9,9,91,9,1
42,0,9,9,91,9,1
43,1,9,-1,-1,-1,-1
44,0,9,9,91,9,1
45,0,9,9,91,9,1
46,0,9,9,91,9,1
47,1,9,-1,-1,-1,-1
48,0,9,9,91,9,1
49,0,3,3,91,3,1
50,0,3,3,91,3,1
51,0,3,3,91,3,1
52,0,3,3,91,3,1
53,0,3,3,91,3,1
54,0,3,3,91,3,1
55,0,3,3,91,3,1
56,0,3,3,91,3,1
57,0,3,3,91,3,1
58,0,3,3,91,3,1
59,0,3,3,91,3,1
60,0,3,3,91,3,1
61,0,3,3,91,3,1
62,0,3,3,91,3,1
63,1,3,-1,-1,-1,-1
64,0,3,91,91,3,1
65,0,3,3,91,3,1
66,0,3,3,91,3,1
67,0,3,3,91,3,1
68,0,3,3,91,3,1
69,0,3,3,91,3,1
70,0,3,3,91,3,1
71,0,3,3,91,3,1
72,1,3,-1,-1,-1,-1
73,0,3,3,91,3,1
74,0,3,91,91,3,1
75,1,3,-1,-1,-1,-1
76,0,3,3,91,3,1
77,0,3,3,91,3,1
78,0,3,3,91,3,1
79,0,3,3,91,3,1
80,0,3,3,91,3,1
